"Date","Price","Open","High","Low","Change %"
"06/02/2023","5.917","5.985","5.985","5.905","-0.70%"
"06/01/2023","5.958","6.064","6.088","5.912","0.12%"
"05/31/2023","5.951","6.049","6.095","5.880","0.02%"
"05/30/2023","5.950","6.106","6.118","5.919","-0.70%"
"05/29/2023","5.992","6.170","6.228","5.987","-1.01%"
"05/26/2023","6.053","6.182","6.263","6.042","-0.18%"
"05/25/2023","6.064","6.033","6.225","6.017","0.90%"
"05/24/2023","6.010","6.119","6.164","5.988","0.08%"
"05/23/2023","6.005","6.117","6.199","5.997","0.05%"
"05/22/2023","6.002","5.981","6.113","5.951","0.55%"
"05/19/2023","5.969","6.079","6.129","5.945","0.00%"
"05/18/2023","5.969","6.005","6.090","5.891","1.08%"
"05/17/2023","5.905","6.025","6.122","5.875","-0.29%"
"05/16/2023","5.922","5.977","6.026","5.824","0.68%"
"05/15/2023","5.882","5.750","6.016","5.750","2.10%"
"05/13/2023","5.761","5.761","5.761","5.761","0.30%"
"05/12/2023","5.744","5.848","5.900","5.733","0.07%"
"05/11/2023","5.740","5.890","5.892","5.689","-0.57%"
"05/10/2023","5.773","5.894","5.954","5.757","-0.52%"
"05/09/2023","5.803","5.751","5.965","5.706","-0.79%"
"05/08/2023","5.849","5.907","5.969","5.742","1.49%"
"05/05/2023","5.763","5.760","5.962","5.748","0.03%"
"05/04/2023","5.761","5.928","6.032","5.757","-0.86%"
"05/03/2023","5.811","5.837","5.879","5.769","0.09%"
